session_id,vehicle_model,battery_capacity_kwh,rated_range_km,battery_age_months,battery_degradation_pct,charger_type,charger_power_kw,session_start,start_soc_pct,target_soc_pct,energy_added_kwh,charge_duration_hrs,ambient_temp_c,driving_style,estimated_range_km,actual_range_km
75,Hyundai Kona Electric,39.2,452,37,5.55,Level 1 (Home),2.3,2026-01-18T01:36,39.1,77.2,14.94,6.5,37.6,Normal,348.4,348.4
76,Tesla Model 3,57.5,513,22,3.3,Level 2 (AC Public),7.4,2026-01-18T07:29,11.0,96.3,49.05,6.63,11.7,Normal,496.0,496.0
77,BYD Atto 3,60.5,521,47,7.05,DC Fast Charger,50.0,2026-01-18T10:43,40.8,88.9,29.1,0.58,24.1,Eco,471.9,504.9
78,BYD Atto 3,60.5,521,19,2.85,Level 1 (Home),2.3,2026-01-18T14:58,34.2,91.1,34.42,14.97,23.2,Eco,466.4,499.0
79,MG ZS EV,50.3,461,36,5.4,Level 2 (AC Public),7.4,2026-01-18T17:45,33.2,84.2,25.65,3.47,25.5,Aggressive,391.8,344.8
80,Tesla Model 3,57.5,513,35,5.25,Level 2 (AC Public),7.4,2026-01-18T21:23,20.7,80.8,34.56,4.67,31.7,Aggressive,419.1,368.8
81,MG ZS EV,50.3,461,39,5.85,Level 1 (Home),2.3,2026-01-19T06:00,17.6,87.1,34.96,15.2,31.8,Aggressive,390.4,343.6
82,Tata Nexon EV,40.5,312,18,2.7,Level 1 (Home),2.3,2026-01-19T09:16,20.4,84.0,25.76,11.2,16.2,Eco,258.8,276.9
83,Tata Nexon EV,40.5,312,1,0.15,DC Fast Charger,50.0,2026-01-19T10:38,20.2,98.6,31.75,0.64,28.6,Eco,303.0,324.2
84,Tesla Model 3,57.5,513,8,1.2,Level 2 (AC Public),7.4,2026-01-19T16:13,25.4,79.6,31.16,4.21,6.9,Normal,385.6,385.6
85,Tesla Model 3,57.5,513,20,3.0,Level 2 (AC Public),7.4,2026-01-19T23:48,12.6,90.7,44.91,6.07,7.0,Aggressive,460.3,405.1
86,MG ZS EV,50.3,461,25,3.75,Level 1 (Home),2.3,2026-01-20T01:29,29.5,85.4,28.12,12.23,27.1,Aggressive,390.9,344.0
87,Tesla Model 3,57.5,513,48,7.2,Level 2 (AC Public),7.4,2026-01-20T06:05,40.1,99.8,34.33,4.64,16.3,Aggressive,508.3,447.3
88,MG ZS EV,50.3,461,11,1.65,DC Fast Charger,50.0,2026-01-20T07:52,17.4,91.5,37.27,0.75,10.8,Eco,423.0,452.6
89,Tesla Model 3,57.5,513,30,4.5,DC Fast Charger,50.0,2026-01-20T08:54,30.8,82.3,29.61,0.59,13.6,Aggressive,414.7,364.9
90,MG ZS EV,50.3,461,8,1.2,Level 2 (AC Public),7.4,2026-01-20T10:28,37.6,90.6,26.66,3.6,29.5,Normal,407.1,407.1
91,MG ZS EV,50.3,461,37,5.55,Level 2 (AC Public),7.4,2026-01-20T15:49,38.9,76.8,19.06,2.58,11.1,Aggressive,352.6,310.3
92,Tesla Model 3,57.5,513,32,4.8,Level 1 (Home),2.3,2026-01-21T00:12,26.4,82.6,32.31,14.05,19.9,Aggressive,429.6,378.0
93,BYD Atto 3,60.5,521,44,6.6,Level 1 (Home),2.3,2026-01-21T04:42,41.1,93.4,31.64,13.76,27.3,Eco,500.9,536.0
94,BYD Atto 3,60.5,521,12,1.8,DC Fast Charger,50.0,2026-01-21T12:23,43.3,100.0,34.3,0.69,29.9,Eco,528.3,565.3
95,Tesla Model 3,57.5,513,31,4.65,Level 2 (AC Public),7.4,2026-01-21T17:09,16.4,89.6,42.09,5.69,28.5,Eco,459.9,492.1
96,Hyundai Kona Electric,39.2,452,43,6.45,Level 2 (AC Public),7.4,2026-01-21T20:56,33.5,96.4,24.66,3.33,17.2,Normal,430.7,430.7
97,BYD Atto 3,60.5,521,33,4.95,Level 1 (Home),2.3,2026-01-22T05:29,25.9,82.9,34.49,15.0,17.0,Normal,420.1,420.1
98,Tata Nexon EV,40.5,312,32,4.8,DC Fast Charger,50.0,2026-01-22T13:05,40.4,86.5,18.67,0.37,7.0,Aggressive,261.2,229.9
99,Tata Nexon EV,40.5,312,8,1.2,Level 1 (Home),2.3,2026-01-22T19:06,19.3,78.3,23.89,10.39,15.7,Normal,238.8,238.8
100,BYD Atto 3,60.5,521,8,1.2,Level 1 (Home),2.3,2026-01-22T20:19,34.8,82.8,29.04,12.63,5.5,Eco,417.8,447.0
101,Tata Nexon EV,40.5,312,27,4.05,DC Fast Charger,50.0,2026-01-23T01:01,39.1,87.5,19.6,0.39,31.5,Normal,272.9,272.9
102,Tesla Model 3,57.5,513,9,1.35,Level 1 (Home),2.3,2026-01-23T08:42,26.0,78.6,30.24,13.15,12.1,Aggressive,396.3,348.7
103,Hyundai Kona Electric,39.2,452,20,3.0,Level 2 (AC Public),7.4,2026-01-23T16:36,21.9,94.7,28.54,3.86,14.9,Aggressive,441.0,388.1
104,BYD Atto 3,60.5,521,35,5.25,DC Fast Charger,50.0,2026-01-24T00:18,27.1,78.7,31.22,0.62,24.9,Aggressive,413.9,364.2
105,Hyundai Kona Electric,39.2,452,3,0.45,Level 1 (Home),2.3,2026-01-24T04:19,44.3,81.0,14.39,6.26,19.2,Normal,358.5,358.5
106,Tesla Model 3,57.5,513,10,1.5,DC Fast Charger,50.0,2026-01-24T07:52,42.0,84.5,24.44,0.49,41.6,Aggressive,414.3,364.6
107,Tata Nexon EV,40.5,312,7,1.05,Level 1 (Home),2.3,2026-01-24T12:50,27.6,89.8,25.19,10.95,37.2,Normal,269.9,269.9
108,Tesla Model 3,57.5,513,17,2.55,Level 1 (Home),2.3,2026-01-24T18:02,35.3,85.2,28.69,12.47,29.2,Normal,446.3,446.3
109,Tesla Model 3,57.5,513,41,6.15,DC Fast Charger,50.0,2026-01-24T21:45,12.8,83.2,40.48,0.81,30.0,Normal,426.0,426.0
110,Tesla Model 3,57.5,513,48,7.2,DC Fast Charger,50.0,2026-01-25T04:30,11.3,76.7,37.61,0.75,28.4,Eco,383.8,410.7
111,Tata Nexon EV,40.5,312,3,0.45,DC Fast Charger,50.0,2026-01-25T06:13,34.6,77.5,17.37,0.35,11.2,Eco,241.0,257.9
112,Tata Nexon EV,40.5,312,12,1.8,Level 2 (AC Public),7.4,2026-01-25T09:49,22.5,85.8,25.64,3.46,14.0,Aggressive,268.0,235.8
113,Tata Nexon EV,40.5,312,15,2.25,DC Fast Charger,50.0,2026-01-25T12:11,40.5,90.5,20.25,0.41,13.9,Eco,274.4,293.6
114,Hyundai Kona Electric,39.2,452,35,5.25,Level 2 (AC Public),7.4,2026-01-25T16:52,18.9,75.2,22.07,2.98,34.8,Aggressive,329.2,289.7
115,Tesla Model 3,57.5,513,20,3.0,Level 2 (AC Public),7.4,2026-01-25T19:08,44.6,82.5,21.79,2.94,40.6,Normal,408.0,408.0
116,Tesla Model 3,57.5,513,19,2.85,Level 2 (AC Public),7.4,2026-01-25T21:43,13.7,84.5,40.71,5.5,18.3,Aggressive,438.9,386.2
117,Tesla Model 3,57.5,513,48,7.2,Level 2 (AC Public),7.4,2026-01-25T22:54,10.3,96.6,49.62,6.71,33.8,Aggressive,479.3,421.8
118,Hyundai Kona Electric,39.2,452,47,7.05,Level 1 (Home),2.3,2026-01-26T03:52,31.2,83.8,20.62,8.97,28.6,Aggressive,376.0,330.9
119,MG ZS EV,50.3,461,38,5.7,DC Fast Charger,50.0,2026-01-26T11:01,13.4,90.7,38.88,0.78,6.5,Eco,397.7,425.5
120,MG ZS EV,50.3,461,24,3.6,Level 1 (Home),2.3,2026-01-26T14:56,41.8,83.2,20.82,9.05,20.4,Aggressive,390.6,343.7
121,Hyundai Kona Electric,39.2,452,22,3.3,Level 1 (Home),2.3,2026-01-26T20:11,19.0,95.6,30.03,13.06,22.8,Aggressive,424.3,373.4
122,Tesla Model 3,57.5,513,36,5.4,Level 1 (Home),2.3,2026-01-27T03:37,14.9,99.2,48.47,21.07,36.8,Normal,495.1,495.1
123,Tesla Model 3,57.5,513,38,5.7,Level 1 (Home),2.3,2026-01-27T07:32,19.3,78.1,33.81,14.7,18.6,Normal,394.8,394.8
124,Hyundai Kona Electric,39.2,452,40,6.0,Level 1 (Home),2.3,2026-01-27T11:35,33.6,86.8,20.85,9.07,27.9,Normal,382.2,382.2
125,Tata Nexon EV,40.5,312,3,0.45,DC Fast Charger,50.0,2026-01-27T14:21,38.8,97.7,23.85,0.48,16.2,Eco,306.5,328.0
126,Hyundai Kona Electric,39.2,452,43,6.45,Level 2 (AC Public),7.4,2026-01-27T22:56,14.1,80.9,26.19,3.54,24.9,Normal,368.1,368.1
127,BYD Atto 3,60.5,521,40,6.0,Level 2 (AC Public),7.4,2026-01-28T07:31,30.6,93.2,37.87,5.12,37.8,Normal,472.9,472.9
128,Hyundai Kona Electric,39.2,452,7,1.05,Level 1 (Home),2.3,2026-01-28T11:47,34.2,80.4,18.11,7.87,21.5,Normal,369.3,369.3
129,Hyundai Kona Electric,39.2,452,30,4.5,DC Fast Charger,50.0,2026-01-28T20:38,41.6,91.1,19.4,0.39,7.2,Eco,404.6,432.9
130,MG ZS EV,50.3,461,37,5.55,DC Fast Charger,50.0,2026-01-28T22:22,32.4,99.3,33.65,0.67,6.9,Eco,447.7,479.0
131,BYD Atto 3,60.5,521,1,0.15,Level 1 (Home),2.3,2026-01-29T01:01,30.5,95.3,39.2,17.04,13.6,Aggressive,485.8,427.5
132,MG ZS EV,50.3,461,1,0.15,Level 1 (Home),2.3,2026-01-29T04:14,28.9,95.0,33.25,14.46,9.1,Eco,418.9,448.2
133,MG ZS EV,50.3,461,8,1.2,DC Fast Charger,50.0,2026-01-29T08:06,21.3,79.4,29.22,0.58,6.9,Aggressive,349.6,307.6
134,Tesla Model 3,57.5,513,3,0.45,Level 2 (AC Public),7.4,2026-01-29T15:03,37.2,87.8,29.09,3.93,9.0,Aggressive,439.8,387.0
135,BYD Atto 3,60.5,521,28,4.2,Level 2 (AC Public),7.4,2026-01-29T21:53,26.0,99.1,44.23,5.98,7.3,Normal,501.5,501.5
136,Tesla Model 3,57.5,513,9,1.35,DC Fast Charger,50.0,2026-01-30T04:22,41.8,76.8,20.12,0.4,8.0,Eco,380.8,407.5
137,BYD Atto 3,60.5,521,39,5.85,DC Fast Charger,50.0,2026-01-30T07:34,34.9,84.5,30.01,0.6,27.1,Aggressive,445.7,392.2
138,Tata Nexon EV,40.5,312,15,2.25,DC Fast Charger,50.0,2026-01-30T12:00,32.8,94.2,24.87,0.5,31.7,Normal,299.0,299.0
139,Tesla Model 3,57.5,513,10,1.5,Level 2 (AC Public),7.4,2026-01-30T16:19,24.6,77.4,30.36,4.1,20.8,Normal,393.2,393.2
140,Tesla Model 3,57.5,513,9,1.35,Level 1 (Home),2.3,2026-01-30T22:49,13.2,77.1,36.74,15.97,21.0,Normal,389.8,389.8
141,BYD Atto 3,60.5,521,47,7.05,DC Fast Charger,50.0,2026-01-31T04:16,29.7,91.8,37.57,0.75,20.2,Normal,467.8,467.8
142,Hyundai Kona Electric,39.2,452,15,2.25,DC Fast Charger,50.0,2026-01-31T05:40,20.9,77.6,22.23,0.44,23.8,Normal,358.2,358.2
143,Hyundai Kona Electric,39.2,452,40,6.0,DC Fast Charger,50.0,2026-01-31T13:27,22.9,94.1,27.91,0.56,26.2,Aggressive,417.6,367.5
144,BYD Atto 3,60.5,521,45,6.75,Level 1 (Home),2.3,2026-01-31T19:22,31.3,91.4,36.36,15.81,30.7,Normal,490.0,490.0
145,Hyundai Kona Electric,39.2,452,48,7.2,Level 2 (AC Public),7.4,2026-02-01T02:28,10.2,96.7,33.91,4.58,26.0,Eco,439.7,470.5
146,Tata Nexon EV,40.5,312,20,3.0,Level 1 (Home),2.3,2026-02-01T08:32,36.1,80.4,17.94,7.8,20.5,Normal,253.3,253.3
147,BYD Atto 3,60.5,521,6,0.9,DC Fast Charger,50.0,2026-02-01T15:18,13.0,76.3,38.3,0.77,10.8,Aggressive,388.3,341.7
148,Tesla Model 3,57.5,513,28,4.2,Level 2 (AC Public),7.4,2026-02-01T18:28,31.2,85.4,31.17,4.21,13.0,Normal,434.3,434.3
149,BYD Atto 3,60.5,521,1,0.15,Level 2 (AC Public),7.4,2026-02-01T20:22,28.4,82.7,32.85,4.44,13.2,Eco,415.8,444.9
150,MG ZS EV,50.3,461,12,1.8,Level 1 (Home),2.3,2026-02-01T23:00,36.7,82.2,22.89,9.95,9.4,Normal,370.7,370.7
151,BYD Atto 3,60.5,521,48,7.2,DC Fast Charger,50.0,2026-02-02T01:02,18.1,89.0,42.89,0.86,29.7,Normal,467.8,467.8
152,Tata Nexon EV,40.5,312,41,6.15,Level 2 (AC Public),7.4,2026-02-02T02:22,42.2,96.6,22.03,2.98,26.3,Aggressive,300.1,264.1
153,Tata Nexon EV,40.5,312,24,3.6,Level 2 (AC Public),7.4,2026-02-02T06:43,10.7,83.1,29.32,3.96,34.6,Aggressive,255.5,224.8
154,Tata Nexon EV,40.5,312,22,3.3,Level 1 (Home),2.3,2026-02-02T08:25,25.2,85.0,24.22,10.53,7.9,Aggressive,252.4,222.1
155,MG ZS EV,50.3,461,23,3.45,Level 1 (Home),2.3,2026-02-02T11:11,27.9,77.9,25.15,10.93,23.9,Normal,350.6,350.6
156,MG ZS EV,50.3,461,5,0.75,Level 1 (Home),2.3,2026-02-02T18:00,13.6,81.4,34.1,14.83,11.4,Aggressive,377.7,332.4
157,Tesla Model 3,57.5,513,42,6.3,Level 2 (AC Public),7.4,2026-02-02T20:25,36.4,94.0,33.12,4.48,21.6,Aggressive,470.3,413.9
158,BYD Atto 3,60.5,521,41,6.15,Level 2 (AC Public),7.4,2026-02-03T02:30,40.2,90.7,30.55,4.13,10.6,Normal,476.5,476.5
159,Hyundai Kona Electric,39.2,452,24,3.6,DC Fast Charger,50.0,2026-02-03T05:56,12.0,87.7,29.67,0.59,16.5,Eco,397.6,425.4
160,Tata Nexon EV,40.5,312,38,5.7,DC Fast Charger,50.0,2026-02-03T13:35,40.2,96.4,22.76,0.46,27.8,Normal,300.6,300.6
161,Tata Nexon EV,40.5,312,10,1.5,Level 2 (AC Public),7.4,2026-02-03T19:01,41.8,89.3,19.24,2.6,12.0,Aggressive,273.6,240.8
162,Tesla Model 3,57.5,513,12,1.8,Level 1 (Home),2.3,2026-02-04T03:41,38.4,95.9,33.06,14.37,41.3,Aggressive,490.5,431.6
163,Tesla Model 3,57.5,513,27,4.05,Level 2 (AC Public),7.4,2026-02-04T05:00,28.3,90.2,35.59,4.81,18.5,Normal,451.4,451.4
164,BYD Atto 3,60.5,521,25,3.75,Level 1 (Home),2.3,2026-02-04T12:11,37.6,91.2,32.43,14.1,7.4,Aggressive,472.3,415.6
165,BYD Atto 3,60.5,521,45,6.75,Level 1 (Home),2.3,2026-02-04T15:28,21.7,89.6,41.08,17.86,10.2,Aggressive,462.1,406.6
166,MG ZS EV,50.3,461,9,1.35,DC Fast Charger,50.0,2026-02-04T21:46,34.8,77.1,21.28,0.43,25.7,Normal,352.4,352.4
167,BYD Atto 3,60.5,521,14,2.1,Level 1 (Home),2.3,2026-02-05T04:07,32.6,85.6,32.06,13.94,18.4,Eco,449.7,481.2
168,Tesla Model 3,57.5,513,33,4.95,Level 1 (Home),2.3,2026-02-05T07:51,17.9,78.4,34.79,15.13,7.9,Eco,383.4,410.2
169,BYD Atto 3,60.5,521,11,1.65,Level 1 (Home),2.3,2026-02-05T15:01,33.2,96.9,38.54,16.76,27.9,Eco,501.9,537.0
170,BYD Atto 3,60.5,521,40,6.0,Level 1 (Home),2.3,2026-02-05T17:28,35.2,76.1,24.74,10.76,18.5,Normal,391.3,391.3
